"ID","Imagen","Codidgo","Nombre","Tipo","Categoria","Cantidad","Impuesto","Metodo","Costo","Precio"
"1174","","1455","SUDADERO CELESTE PALIDO Y-3 1455","Standard","General","0.00","0","Inclusivo","263.42","450.00"
"1173","","19151","Pantalón Levis 315 19151 Shaping bootcut azul claro manga campana talla 31*30","Standard","General","0.00","0","Inclusivo","263.42","410.00"
"1172","","19111","PANTALON DAMA 724 HIGH-RISE 19111  CELESTE MANCHADO RASGADO 33*30","Standard","General","0.00","0","Inclusivo","263.42","410.00"
"1171","","20221","pantalon 511 slim azul con mancha 38*32 20221","Standard","General","0.00","0","Inclusivo","284.08","460.00"
"1170","","20196","pantalon 511 slim gris claro 2 32*30 20196","Standard","General","0.00","0","Inclusivo","284.08","460.00"
"1168","","2133","Conjunto adidas fuscia 2133 talla 2XS","Standard","General","8.00","0","Inclusivo","180.78","300.00"
"1167","","2132","conjunto adidas fuscia 2132 talla 5T","Standard","General","5.00","0","Inclusivo","180.78","300.00"
"1166","","2131","Adidas crew set almost blue 2131 talla XS","Standard","General","2.00","0","Inclusivo","180.78","300.00"
"1165","","2130","Adidas crew set almost blue 2130 talla 9M","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1164","","2129","Adidas crew set almost blue 2129 talla 2XS","Standard","General","4.00","0","Inclusivo","180.78","300.00"
"1163","","2128","Adidas crew set almost blue 2128 talla 4T","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1162","","2127","Adidas Hoodie set kids beige 2127 talla 2XS","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1161","","2126","Adidas Hoodie set kids beige 2126 talla 5T","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1160","","2125","Adidas Hoodie set kids beige 2125 talla 4T","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1159","","2124","conjunto adidas sst, bebes 2124 talla 6M","Standard","General","3.00","0","Inclusivo","180.78","300.00"
"1158","","2123","Adidas Hoodie set kids azul marino 2123 talla XS","Standard","General","7.00","0","Inclusivo","180.78","300.00"
"1157","","2122","Adidas I lego cl t, bebes 2122 talla 2T","Standard","General","1.00","0","Inclusivo","180.78","300.00"
"1156","","2121","Adidas I lego cl t, bebes 2121 talla 18M","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1155","","2120","Adidas crew set linen green kids 2120 talla 2XS","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1154","","2119","Adidas crew set linen green kids 2119 talla 5T","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1153","","2118","Conjunto adidas azul marino 2118 talla 4T","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1152","","2117","Conjunto adidas negro y azul 2117 talla2T","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1151","","2116","conjunto sudadero estampado, pants azul 2116 talla 7","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1150","","2115","Adidas camo print sst set 2115 talla 2XS","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1149","","2114","Adidas allover print tracksuit 2114 talla XS","Standard","General","0.00","0","Inclusivo","280.78","300.00"
"1148","","2113","Adidas sst track suit kids 2113 talla XS","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1147","","2112","Conjunto adidas negro con logo de colores 2112 talla  5T","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1146","","2111","Conjunto adidas negro con logo de colores 2111 talla 2XS","Standard","General","0.00","0","Inclusivo","180.78","300.00"
"1145","","13115","Adidas contempo shorts 13115 talla XS","Standard","General","0.00","0","Inclusivo","149.79","220.00"
"1144","","13114","Adidas adicolor plisse short black 13114 talla L","Standard","General","0.00","0","Inclusivo","149.79","220.00"
"1143","","13113","Adidas adicolor plisse short black 13113 talla L","Standard","General","1.00","0","Inclusivo","149.79","220.00"
"1142","","13112","Adidas W sl short 13112 talla M","Standard","General","0.00","0","Inclusivo","149.79","220.00"
"1141","","13111","Adidas t19 run 13111 talla L","Standard","General","1.00","0","Inclusivo","149.79","220.00"
"1140","","13110","Adidas condivo 21 short 13110 talla L","Standard","General","0.00","0","Inclusivo","149.79","220.00"
"1139","","13109","Adidas runners 13109 talla S","Standard","General","0.00","0","Inclusivo","149.79","220.00"
"1138","","13108","Adidas farm aop short 13108 talla XL","Standard","General","1.00","0","Inclusivo","149.79","220.00"
"1137","","13107","Short verde logo morado 13107 talla S","Standard","General","0.00","0","Inclusivo","149.79","220.00"
"1136","","13106","Adidas run icons 2 in 1 13106 talla M","Standard","General","3.00","0","Inclusivo","149.79","220.00"
"1135","","13105","Adidas run icons 2 in 1 13105 talla L","Standard","General","2.00","0","Inclusivo","149.79","220.00"
"1134","","13104","Adidas pharma 16 short 13104 womens talla L","Standard","General","1.00","0","Inclusivo","149.79","220.00"
"1133","","13103","Luxe short ash pearl 13103 talla XL","Standard","General","3.00","0","Inclusivo","149.79","220.00"
"1132","","13102","Rnfast runing short 13102 talla S","Standard","General","1.00","0","Inclusivo","149.79","220.00"
"1131","","13101","Adidas rn fast short ib 13101 talla XL","Standard","General","2.00","0","Inclusivo","149.79","220.00"
"1130","","13100","BF aop short 13100 talla XL","Standard","General","3.00","0","Inclusivo","149.79","220.00"
"1129","","1399","BF aop short 1399 talla L","Standard","General","1.00","0","Inclusivo","149.79","220.00"
